Year,No.,Round,Pick,Player,Name,Team,College
2020,1,1,32,32,Clyde Edwards-Helaire,Chiefs,Louisiana State
2020,2,2,3,35,D'Andre Swift,Lions,Georgia
2020,3,2,9,41,Jonathan Taylor,Colts,Wisconsin
2020,4,2,20,52,Cam Akers,Rams,Florida State
2020,5,2,23,55,J.K. Dobbins,Ravens,Ohio State
2020,6,2,30,62,AJ Dillon,Packers,Boston College
2020,7,3,12,76,Ke'Shawn Vaughn,Buccaneers,Vanderbilt
2020,8,3,22,86,Zack Moss,Bills,Utah
2020,9,3,29,93,Darrynton Evans,Titans,Appalachian State
2020,10,4,6,112,Joshua Kelley,Chargers,UCLA
2020,11,4,14,120,Lamical Perine,Jets,Florida
2020,12,4,18,124,Anthony McFarland Jr.,Steelers,Maryland
2020,13,4,38,144,DeeJay Dallas,Seahawks,Miami (FL)
2020,14,5,26,172,Jason Huntley,Lions,New Mexico State
2020,15,7,8,222,Eno Benjamin,Cardinals,Arizona State
2020,16,7,31,245,Raymond Calais,Buccaneers,Louisiana-Lafayette
2019,1,1,24,24,Josh Jacobs,Raiders,Alabama
2019,2,2,21,53,Miles Sanders,Eagles,Penn State
2019,3,3,6,70,Darrell Henderson,Rams,Memphis
2019,4,3,9,73,David Montgomery,Bears,Iowa State
2019,5,3,10,74,Devin Singletary,Bills,Florida Atlantic
2019,6,3,23,87,Damien Harris,Patriots,Alabama
2019,7,3,38,102,Alexander Mattison,Vikings,Boise State
2019,8,4,10,112,Bryce Love,Redskins,Stanford
2019,9,4,11,113,Justice Hill,Ravens,Oklahoma State
2019,10,4,20,122,Benny Snell Jr.,Steelers,Kentucky
2019,11,4,26,128,Tony Pollard,Cowboys,Memphis
2019,12,5,2,140,Ryquell Armstead,Jaguars,Temple
2019,13,5,14,152,Qadree Ollison,Falcons,Pittsburgh
2019,14,5,16,154,Jordan Scarlett,Panthers,Florida
2019,15,6,9,182,Trayveon Williams,Bengals,Texas A&M
2019,16,6,13,186,Ty Johnson,Lions,Maryland
2019,17,6,21,194,Dexter Williams,Packers,Notre Dame
2019,18,6,31,204,Travis Homer,Seahawks,Miami (FL)
2019,19,6,38,211,Rodney Anderson,Bengals,Oklahoma
2019,20,6,41,214,Darwin Thompson,Chiefs,Utah State
2019,21,7,4,218,Mike Weber,Cowboys,Ohio State
2019,22,7,6,220,Cullen Gillaspia,Texans,Texas A&M
2019,23,7,8,222,Kerrith Whyte Jr.,Bears,Florida Atlantic
2019,24,7,19,233,Chandler Cox,Dolphins,Auburn
2019,25,7,20,234,Myles Gaskin,Dolphins,Washington
2018,1,1,2,2,Saquon Barkley,Giants,Penn State
2018,2,1,27,27,Rashaad Penny,Seahawks,San Diego State
2018,3,1,31,31,Sony Michel,Patriots,Georgia
2018,4,2,3,35,Nick Chubb,Browns,Georgia
2018,5,2,6,38,Ronald Jones,Buccaneers,USC
2018,6,2,11,43,Kerryon Johnson,Lions,Auburn
2018,7,2,27,59,Derrius Guice,Redskins,Louisiana State
2018,8,3,7,71,Royce Freeman,Broncos,Oregon
2018,9,4,4,104,Nyheim Hines,Colts,North Carolina State
2018,10,4,12,112,Mark Walton,Bengals,Miami (FL)
2018,11,4,26,126,Ito Smith,Falcons,Southern Mississippi
2018,12,4,31,131,Kalen Ballage,Dolphins,Arizona State
2018,13,4,34,134,Chase Edmonds,Cardinals,Fordham
2018,14,5,32,169,Jordan Wilkins,Colts,Mississippi
2018,15,6,2,176,John Kelly,Rams,Tennessee
2018,16,6,27,201,Boston Scott,Saints,Louisiana Tech
2018,17,6,30,204,Trenton Cannon,Jets,Virginia State
2018,18,7,8,226,David Williams,Broncos,Arkansas
2018,19,7,18,236,Bo Scarbrough,Cowboys,Alabama
2018,20,7,19,237,Nick Bawdon,Lions,San Diego State
2018,21,7,33,251,Justin Jackson,Chargers,Northwestern
2017,1,1,4,4,Leonard Fournette,Jaguars,Louisiana State
2017,2,1,8,8,Christian McCaffrey,Panthers,Stanford
2017,3,2,9,41,Dalvin Cook,Vikings,Florida State
2017,4,2,16,48,Joe Mixon,Bengals,Oklahoma
2017,5,3,3,67,Alvin Kamara,Saints,Tennessee
2017,6,3,22,86,Kareem Hunt,Chiefs,Toledo
2017,7,3,25,89,D'Onta Foreman,Texans,Texas
2017,8,3,41,105,James Conner,Steelers,Pittsburgh
2017,9,4,7,114,Samaje Perine,Redskins,Oklahoma
2017,10,4,13,119,Tarik Cohen,Bears,North Carolina A&T
2017,11,4,15,121,Joe Williams,49ers,Utah
2017,12,4,26,132,Donnel Pumphrey,Eagles,San Diego State
2017,13,4,28,134,Jamaal Williams,Packers,Brigham Young
2017,14,4,34,140,Wayne Gallman,Giants,Clemson
